,club_from,club_to,player_age,player_name,player_nationality,player_position,player_value,transfer_date,transfer_fee,transfer_type
0,AS Monaco,FC Bayern München,26.0,Alexander Nübel,Deutschland,TW,10.0,2023,0.0,1.0
1,Vitesse Arnheim,FC Bayern München,19.0,Gabriel Vidovic,Kroatien,OM,3.0,2023,0.0,1.0
2,Hannover 96,FC Bayern München,20.0,Bright Arrey-Mbi,Deutschland,IV,1.0,2023,0.0,1.0
3,Manchester United,FC Bayern München,29.0,Marcel Sabitzer,Österreich,ZM,20.0,2023,0.0,1.0
4,FC Bayern München,Manchester City,29.0,João Cancelo,Portugal,RV,60.0,2023,0.0,1.0
5,Eintracht Frankfurt,Borussia Dortmund,21.0,Ansgar Knauff,Deutschland,RA,10.0,2023,0.0,1.0
6,PSV Eindhoven,Borussia Dortmund,30.0,Thorgan Hazard,Belgien,LA,9.0,2023,0.0,1.0
7,Borussia Dortmund,Vereinslos,27.0,Mahmoud Dahoud,Deutschland,ZM,12.0,2023,0.0,4.0
8,1.FC Union Berlin,Bayer 04 Leverkusen,24.0,Lennart Grill,Deutschland,TW,1.0,2023,0.0,1.0
9,Clube Atlético Mineiro,Bayer 04 Leverkusen,22.0,Paulinho,Brasilien,LA,7.0,2023,0.0,1.0
10,Bayer 04 Leverkusen,SC Internacional Porto Alegre,34.0,Charles Aránguiz,Chile,ZM,3.5,2023,0.0,2.0
11,Bayer 04 Leverkusen,1.FC Union Berlin,24.0,Lennart Grill,Deutschland,TW,1.0,2023,0.0,0.0
12,Bayer 04 Leverkusen,Vereinslos,27.0,Daley Sinkgraven,Niederlande,LV,3.0,2023,0.0,4.0
13,Bayer 04 Leverkusen,FC Chelsea,22.0,Callum Hudson-Odoi,England,LA,17.0,2023,0.0,1.0
14,Red Bull Salzburg,RasenBallsport Leipzig,20.0,Benjamin Sesko,Slowenien,MS,20.0,2023,24.0,0.0
15,Red Bull Salzburg,RasenBallsport Leipzig,22.0,Nicolas Seiwald,Österreich,ZM,20.0,2023,20.0,0.0
16,SG Dynamo Dresden,RasenBallsport Leipzig,21.0,Dennis Borkowski,Deutschland,LA,0.65,2023,0.0,1.0
17,FC Valencia,RasenBallsport Leipzig,20.0,Ilaix Moriba,Guinea,ZM,6.0,2023,0.0,1.0
18,Real Sociedad San Sebastián,RasenBallsport Leipzig,27.0,Alexander Sörloth,Norwegen,MS,12.0,2023,0.0,1.0
19,TSG 1899 Hoffenheim,RasenBallsport Leipzig,26.0,Angeliño,Spanien,LV,14.0,2023,0.0,1.0
20,Sligo Rovers,RasenBallsport Leipzig,22.0,Fabrice Hartmann,Deutschland,RA,0.25,2023,0.0,1.0
21,Genua CFC,RasenBallsport Leipzig,25.0,Josep Martínez,Spanien,TW,1.9,2023,0.0,1.0
22,Eintracht Braunschweig,RasenBallsport Leipzig,20.0,Mehmet Ibrahimi,Deutschland,LA,0.15,2023,0.0,1.0
23,Arminia Bielefeld,RasenBallsport Leipzig,22.0,Frederik Jäkel,Deutschland,IV,0.9,2023,0.0,1.0
24,FC Schalke 04,RasenBallsport Leipzig,22.0,Tom Krauß,Deutschland,ZM,6.0,2023,0.0,1.0
25,RasenBallsport Leipzig,FC Paris Saint-Germain,27.0,Abdou Diallo,Senegal,IV,15.0,2023,0.0,1.0
27,Eintracht Braunschweig,1.FC Union Berlin,25.0,Keita Endo,Japan,OM,0.7,2023,0.0,1.0
28,VfL Bochum,1.FC Union Berlin,29.0,Dominique Heintz,Deutschland,IV,1.5,2023,0.0,1.0
29,FC Hansa Rostock,1.FC Union Berlin,24.0,Rick van Drongelen,Niederlande,IV,0.8,2023,0.0,1.0
30,Panathinaikos Athen,1.FC Union Berlin,24.0,Tymoteusz Puchacz,Polen,LV,1.5,2023,0.0,1.0
31,FC Viktoria 1889 Berlin,1.FC Union Berlin,21.0,Laurenz Dehl,Deutschland,RM,0.2,2023,0.0,1.0
32,FC Schalke 04,1.FC Union Berlin,26.0,Tim Skarke,Deutschland,RA,1.0,2023,0.0,1.0
33,1.FC Union Berlin,PSV Eindhoven,27.0,Timo Baumgartl,Deutschland,IV,3.5,2023,0.0,1.0
35,1.FC Union Berlin,FC Porto,24.0,Diogo Leite,Portugal,IV,12.0,2023,0.0,1.0
36,1.FC Nürnberg,SC Freiburg,24.0,Lino Tempelmann,Deutschland,ZM,2.0,2023,0.0,1.0
37,FC Winterthur,SC Freiburg,23.0,Nishan Burkart,Schweiz,MS,0.4,2023,0.0,1.0
38,VfL Bochum,SC Freiburg,26.0,Keven Schlotterbeck,Deutschland,IV,3.0,2023,0.0,1.0
39,FC Brentford,SC Freiburg,21.0,Kevin Schade,Deutschland,RA,20.0,2023,0.0,1.0
40,Cercle Brügge,SC Freiburg,20.0,Hugo Siquet,Belgien,RV,3.0,2023,0.0,1.0
41,SC Freiburg,Karriereende,34.0,Nils Petersen,Deutschland,MS,1.5,2023,0.0,3.0
42,FC St. Pauli,1.FC Köln,28.0,Leart Paqarada,Kosovo,LV,1.5,2023,0.0,2.0
43,Holstein Kiel,1.FC Köln,21.0,Marvin Obuz,Deutschland,LA,0.3,2023,0.0,1.0
44,Hamburger SV,1.FC Köln,22.0,Noah Katterbach,Deutschland,LV,1.0,2023,0.0,1.0
45,Hellas Verona,1.FC Köln,28.0,Ondrej Duda,Slowakei,OM,4.0,2023,0.0,1.0
46,1.FC Köln,Sampdoria Genua,25.0,Julian Chabot,Deutschland,IV,3.5,2023,0.0,1.0
47,Karlsruher SC,1.FSV Mainz 05,20.0,Paul Nebel,Deutschland,RA,2.0,2023,0.0,1.0
48,SV Sandhausen,1.FSV Mainz 05,22.0,Merveille Papela,Deutschland,ZM,1.0,2023,0.0,1.0
49,FC Hansa Rostock,1.FSV Mainz 05,25.0,Anderson Lucoqui,Angola,LV,0.75,2023,0.0,1.0
50,Espanyol Barcelona,1.FSV Mainz 05,25.0,Ronaël Pierre-Gabriel,Frankreich,RV,4.5,2023,0.0,1.0
51,SV 07 Elversberg,1.FSV Mainz 05,20.0,Ben Bobzien,Deutschland,RA,0.6,2023,0.0,1.0
52,RC Lens,1.FSV Mainz 05,26.0,Angelo Fulgini,Frankreich,OM,9.0,2023,0.0,1.0
53,1.FSV Mainz 05,RC Lens,26.0,Angelo Fulgini,Frankreich,OM,9.0,2023,7.2,0.0
54,Hannover 96,TSG 1899 Hoffenheim,20.0,Maximilian Beier,Deutschland,MS,2.5,2023,0.0,1.0
55,Olympiakos Piräus,TSG 1899 Hoffenheim,27.0,Diadié Samassékou,Mali,DM,10.0,2023,0.0,1.0
56,FC Bologna,TSG 1899 Hoffenheim,26.0,Stefan Posch,Österreich,IV,10.0,2023,0.0,1.0
57,PEC Zwolle,TSG 1899 Hoffenheim,21.0,Melayro Bogarde,Niederlande,DM,1.2,2023,0.0,1.0
58,SpVgg Greuther Fürth,TSG 1899 Hoffenheim,21.0,Marco John,Deutschland,LV,2.0,2023,0.0,1.0
59,FC Basel 1893,TSG 1899 Hoffenheim,28.0,Kasim Adams,Ghana,IV,1.3,2023,0.0,1.0
60,TSG 1899 Hoffenheim,OGC Nizza,25.0,Kasper Dolberg,Dänemark,MS,9.0,2023,0.0,1.0
62,TSG 1899 Hoffenheim,Sporting Lissabon,21.0,Eduardo Quaresma,Portugal,IV,3.0,2023,0.0,1.0
63,TSG 1899 Hoffenheim,FC Dallas,19.0,Justin Che,Vereinigte Staaten,RV,2.0,2023,0.0,1.0
64,TSG 1899 Hoffenheim,FC Sevilla,31.0,Thomas Delaney,Dänemark,ZM,3.0,2023,0.0,1.0
65,SV Meppen,Borussia Mönchengladbach,22.0,Jonas Kersken,Deutschland,TW,0.15,2023,0.0,1.0
66,Roda JC Kerkrade,Borussia Mönchengladbach,25.0,Moritz Nicolas,Deutschland,TW,0.35,2023,0.0,1.0
67,FC Burnley,Borussia Mönchengladbach,23.0,Jordan Beyer,Deutschland,IV,10.0,2023,0.0,1.0
68,VV St. Truiden,Borussia Mönchengladbach,21.0,Rocco Reitz,Deutschland,ZM,0.65,2023,0.0,1.0
69,Borussia Mönchengladbach,Benfica Lissabon,27.0,Julian Weigl,Deutschland,DM,15.0,2023,0.0,1.0
70,Royal Antwerpen FC,Eintracht Frankfurt,21.0,Willian Pacho,Ecuador,IV,9.0,2023,9.0,0.0
71,FC St. Pauli,Eintracht Frankfurt,20.0,Igor Matanovic,Kroatien,MS,0.8,2023,0.0,1.0
72,SpVgg Greuther Fürth,Eintracht Frankfurt,24.0,Ragnar Ache,Deutschland,MS,1.0,2023,0.0,1.0
73,Göztepe,Eintracht Frankfurt,21.0,Ali Akman,Türkei,MS,1.1,2023,0.0,1.0
74,KAA Gent,Eintracht Frankfurt,23.0,Jens Petter Hauge,Norwegen,RA,3.0,2023,0.0,1.0
75,Red Bull Salzburg,Eintracht Frankfurt,25.0,Jérôme Onguéné,Kamerun,IV,3.5,2023,0.0,1.0
77,Eintracht Frankfurt,FC Paris Saint-Germain,22.0,Junior Dina Ebimbe,Frankreich,RM,7.5,2023,0.0,1.0
78,Eintracht Frankfurt,PSV Eindhoven,29.0,Philipp Max,Deutschland,LV,6.0,2023,0.0,1.0
79,1.FC Heidenheim 1846,VfL Wolfsburg,23.0,Tim Siersleben,Deutschland,IV,1.0,2023,0.0,1.0
80,SKN St. Pölten,VfL Wolfsburg,22.0,Ulysses Llanez,Vereinigte Staaten,LA,0.3,2023,0.0,1.0
81,1.FC Nürnberg II,VfL Wolfsburg,20.0,Bryang Kayo,Vereinigte Staaten,ZM,0.175,2023,0.0,1.0
82,NAC Breda,VfL Wolfsburg,20.0,Anselmo García MacNulty,Irland,IV,0.3,2023,0.0,1.0
83,NAC Breda,VfL Wolfsburg,20.0,Fabio Di Michele Sanchez,Deutschland,LV,0.2,2023,0.0,1.0
84,US Lecce,VfL Wolfsburg,25.0,Marin Pongracic,Kroatien,IV,6.0,2023,0.0,1.0
85,Vitesse Arnheim,VfL Wolfsburg,21.0,Bartosz Bialek,Polen,MS,3.0,2023,0.0,1.0
86,AC Mailand,VfL Wolfsburg,20.0,Aster Vranckx,Belgien,ZM,8.5,2023,0.0,1.0
87,SV Werder Bremen,VfL Wolfsburg,29.0,Maximilian Philipp,Deutschland,HS,2.0,2023,0.0,1.0
89,Grasshopper Club Zürich,VfL Bochum,26.0,Noah Loosli,Schweiz,IV,0.6,2023,0.0,2.0
90,SKN St. Pölten,VfL Bochum,20.0,Luis Hartwig,Deutschland,MS,0.35,2023,0.0,1.0
